51.5,134.8,19.1
84,135,19.1
116,135,19.1
67.3,162.5,19.1
100,162.5,19.1
84,190.7,19.1
84.5,42.5,12.7
72,64,12.7
97,64,12.7
59.5,85.5,12.7
84.5,85.5,12.7
109.5,85.5,12.7
47,107.5,12.7
72,107.5,12.7
97,107.5,12.7
122,107.5,12.7
108,33.5,11.1
130.6,33.5,11.1
154,33.5,11.1
176,33.5,11.1
119.3,53.3,11.1
142,53.3,11.1
164.6,53.5,11.1
131,73,11.1
153.3,73,11.1
142.3,92,11.1
200,39.5,9.5
190,57.25,9.5
210,57.25,9.5
180,74.5,9.5
200,74.5,9.5
220,74.5,9.5
170,92,9.5
190,92,9.5
210,92,9.5
230,92,9.5
159.8,109.2,9.5
180,109,9.5
200,109,9.5
220,109,9.5
240.5,109,9.5
157,128,7.5
173,128,7.5
186,128,7.5
206,128,7.5
223,128,7.5
239,128,7.5
164.4,142,7.5
181,142,7.5
198,142,7.5
214.5,142,7.5
231,142,7.5
173,156.5,7.5
190,156.5,7.5
206,156.5,7.5
222.3,156.5,7.5
181,170.5,7.5
197.5,170.5,7.5
214,170.5,7.5
190,184.8,7.5
206,184.8,7.5
197.5,198,7.5
142,142,6.4
135.4,153.3,6.4
148.6,153.3,6.4
128.8,164.6,6.4
142,164.6,6.4
155.2,164.6,6.4
122.2,176,6.4
135.4,176,6.4
148.6,176,6.4
161.8,176,6.4
115.6,187.3,6.4
128.8,187.3,6.4
142,187.3,6.4
155.2,187.3,6.4
168.4,187.3,6.4
109,198.8,6.4
122.2,198.8,6.4
135.4,198.8,6.4
148.6,198.8,6.4
161.8,198.8,6.4
175,198.8,6.4
115.6,210.3,6.4
128.8,210.3,6.4
142.3,210.3,6.4
155.2,210.3,6.4
168.4,210.3,6.4
